GarageArea,GarageCars,GarageYrBlt,TotRmsAbvGrd,FullBath,GrLivArea,1stFlrSF,TotalBsmtSF,BsmtFinSF1,MasVnrArea,YearRemodAdd,YearBuilt,OverallQual,SalePrice
548,2,2003.0,8,2,1710,856,856,706,196.0,2003,2003,7,208500
460,2,1976.0,6,2,1262,1262,1262,978,0.0,1976,1976,6,181500
608,2,2001.0,6,2,1786,920,920,486,162.0,2002,2001,7,223500
642,3,1998.0,7,1,1717,961,756,216,0.0,1970,1915,7,140000
836,3,2000.0,9,2,2198,1145,1145,655,350.0,2000,2000,8,250000
480,2,1993.0,5,1,1362,796,796,732,0.0,1995,1993,5,143000
636,2,2004.0,7,2,1694,1694,1686,1369,186.0,2005,2004,8,307000
484,2,1973.0,7,2,2090,1107,1107,859,240.0,1973,1973,7,200000
468,2,1931.0,8,2,1774,1022,952,0,0.0,1950,1931,7,129900
205,1,1939.0,5,1,1077,1077,991,851,0.0,1950,1939,5,118000
384,1,1965.0,5,1,1040,1040,1040,906,0.0,1965,1965,5,129500
736,3,2005.0,11,3,2324,1182,1175,998,286.0,2006,2005,9,345000
352,1,1962.0,4,1,912,912,912,737,0.0,1962,1962,5,144000
840,3,2006.0,7,2,1494,1494,1494,0,306.0,2007,2006,7,279500
352,1,1960.0,5,1,1253,1253,1253,733,212.0,1960,1960,6,157000
576,2,1991.0,5,1,854,854,832,0,0.0,2001,1929,7,132000
480,2,1970.0,5,1,1004,1004,1004,578,180.0,1970,1970,6,149000
516,2,1967.0,6,2,1296,1296,0,0,0.0,1967,1967,4,90000
576,2,2004.0,6,1,1114,1114,1114,646,0.0,2004,2004,5,159000
294,1,1958.0,6,1,1339,1339,1029,504,0.0,1965,1958,5,139000
853,3,2005.0,9,3,2376,1158,1158,0,380.0,2006,2005,8,325300
280,1,1930.0,6,1,1108,1108,637,0,0.0,1950,1930,7,139400
534,2,2002.0,7,2,1795,1795,1777,0,281.0,2002,2002,8,230000
572,2,1976.0,6,1,1060,1060,1040,840,0.0,1976,1976,5,129900
270,1,1968.0,6,1,1060,1060,1060,188,0.0,2001,1968,5,154000
890,3,2007.0,7,2,1600,1600,1566,0,640.0,2007,2007,8,256300
576,2,2005.0,5,1,900,900,900,234,0.0,2000,1951,5,134800
772,3,2008.0,7,2,1704,1704,1704,1218,200.0,2008,2007,8,306000
319,1,1957.0,6,1,1600,1600,1484,1277,0.0,1997,1957,5,207500
240,1,1920.0,4,1,520,520,520,0,0.0,1950,1927,4,68500
250,1,1920.0,6,1,1317,649,649,0,0.0,1950,1920,4,40000
271,1,1966.0,6,1,1228,1228,1228,0,0.0,2006,1966,5,149350
484,2,2007.0,7,2,1234,1234,1234,0,0.0,2007,2007,8,179900
447,2,1959.0,6,1,1700,1700,1398,1018,0.0,1959,1959,5,165500
556,2,2005.0,6,2,1561,1561,1561,1153,246.0,2005,2005,9,277500
691,3,2004.0,9,3,2452,1132,1117,0,132.0,2005,2004,8,309000
672,2,1995.0,6,1,1097,1097,1097,0,0.0,1995,1994,5,145000
498,2,1954.0,5,1,1297,1297,1297,1213,650.0,1990,1954,5,153000
246,1,1953.0,5,1,1057,1057,1057,731,0.0,2007,1953,5,109000
0,0,1980.0,6,2,1152,1152,0,0,0.0,1955,1955,4,82000
440,2,1965.0,6,2,1324,1324,1088,643,101.0,1965,1965,6,160000
308,1,1959.0,5,1,1328,1328,1350,967,0.0,1959,1959,5,170000
504,2,1983.0,5,1,884,884,840,747,0.0,1983,1983,5,144000
308,1,1977.0,5,1,938,938,938,280,0.0,1980,1975,5,130250
300,1,1959.0,6,1,1150,1150,1150,179,0.0,1959,1959,5,141000
576,2,2005.0,6,2,1752,1752,1752,456,412.0,2005,2005,9,319900
670,2,2003.0,6,1,2149,1518,1434,1351,0.0,2003,2003,7,239686
826,3,2006.0,7,2,1656,1656,1656,24,0.0,2006,2006,8,249700
0,0,1980.0,8,2,1452,736,736,0,0.0,2008,1920,4,113000
386,1,1966.0,6,1,955,955,955,763,0.0,1966,1966,5,127000
388,2,1997.0,6,2,1470,794,794,182,0.0,1997,1997,6,177000
528,2,1985.0,6,1,1176,816,816,0,0.0,1950,1934,6,114500
516,2,1963.0,5,1,816,816,816,104,0.0,1963,1963,5,110000
894,3,1981.0,5,0,1842,1842,1842,1810,0.0,1987,1981,9,385000
572,2,1962.0,6,1,1360,1360,384,384,0.0,1955,1955,5,130000
576,2,1964.0,7,2,1425,1425,1425,490,272.0,1964,1964,6,180500
480,2,1999.0,7,2,1739,983,970,649,456.0,2000,1999,8,172500
565,2,2004.0,7,2,1720,860,860,0,0.0,2004,2004,7,196500
641,3,2006.0,10,3,2945,1426,1410,0,1031.0,2006,2006,10,438780
352,1,1973.0,4,1,780,780,780,632,0.0,1972,1972,5,124900
576,2,2006.0,5,1,1158,1158,1158,941,0.0,2004,2004,6,158000
288,1,1935.0,6,1,1111,581,530,0,0.0,1996,1920,5,101000
484,2,2006.0,6,2,1370,1370,1370,24,178.0,2006,2006,8,202500
480,2,1990.0,9,2,1710,902,576,0,0.0,1950,1921,7,140000
645,2,1998.0,8,2,2034,1057,1057,739,573.0,1998,1997,7,219500
852,3,2004.0,9,2,2473,1143,1143,0,344.0,2005,2004,8,317000
576,2,1970.0,7,2,2207,2207,1947,912,287.0,1989,1970,7,180000
558,2,2003.0,7,2,1479,1479,1453,1013,167.0,2003,2003,7,226000
220,1,1945.0,4,1,747,747,747,0,0.0,1950,1945,4,80000
667,2,1953.0,7,2,2287,1304,1304,603,0.0,1953,1953,7,225000
516,2,1973.0,8,2,2223,2223,2223,1880,1115.0,1973,1973,7,244000
360,2,1987.0,4,1,845,845,845,565,0.0,2006,1982,4,129500
427,2,1998.0,7,2,1718,885,832,0,40.0,1998,1998,7,185000
490,2,1989.0,6,1,1086,1086,1086,320,104.0,2003,1954,5,144900
379,1,1915.0,8,2,1605,840,840,0,0.0,1950,1915,3,107400
297,1,1973.0,5,1,988,526,462,462,0.0,1973,1973,4,91000
283,1,1956.0,4,1,952,952,952,228,0.0,1956,1956,4,135750
240,1,1948.0,6,1,1285,1072,672,336,0.0,2001,1948,5,127000
0,0,1980.0,8,2,1768,1768,1768,0,0.0,1968,1968,4,136500
440,2,1966.0,5,1,1230,682,440,0,0.0,1981,1910,5,110000
509,1,1968.0,8,2,2142,1182,896,448,576.0,1968,1968,6,193500
405,2,1998.0,5,2,1337,1337,1237,1201,443.0,1998,1998,6,153500
758,3,2007.0,6,2,1563,1563,1563,33,468.0,2007,2007,8,245000
461,2,1974.0,6,1,1065,1065,1065,0,66.0,1960,1960,5,126500
400,2,1995.0,7,2,1474,804,384,0,22.0,1996,1995,7,168500
462,2,1991.0,9,2,2417,1301,1288,0,284.0,1992,1991,8,260000
400,2,2005.0,6,2,1560,684,684,0,0.0,2005,2005,6,174000
528,2,2009.0,4,2,1224,612,612,0,76.0,2009,2009,6,164500
0,0,1980.0,6,1,1526,1013,1013,0,0.0,1982,1915,3,85000
0,0,1980.0,5,1,990,990,990,588,0.0,1995,1994,4,123600
420,2,1950.0,4,1,1040,1040,0,0,0.0,1950,1950,4,109900
480,2,1961.0,6,1,1235,1235,1235,600,203.0,1961,1961,5,98600
432,2,1921.0,5,1,964,964,876,713,0.0,2006,1921,5,163500
506,2,1900.0,9,2,2291,1260,1214,1046,0.0,1998,1910,6,133900
684,2,1997.0,7,2,1786,905,824,648,0.0,1997,1997,6,204750
420,2,1993.0,6,2,1470,680,680,310,68.0,1993,1993,6,185000
472,2,1999.0,6,2,1588,1588,1588,1162,183.0,1999,1999,7,214000
432,1,1965.0,6,1,960,960,960,520,48.0,1965,1965,4,94750
366,1,1920.0,5,1,835,835,458,108,0.0,1950,1920,5,83000
0,0,1980.0,6,1,1225,1225,950,569,0.0,1959,1959,4,128950
480,2,1977.0,6,2,1610,1610,1610,1200,28.0,2001,1977,6,205000
476,2,1985.0,7,2,1732,977,741,0,336.0,1985,1985,6,178000
410,2,1979.0,8,2,1535,1535,0,0,0.0,1979,1979,5,118964
740,3,2009.0,6,2,1226,1226,1226,0,0.0,2009,2009,7,198900
240,1,1951.0,7,1,1818,1226,1040,224,600.0,1950,1931,7,169500
648,2,2003.0,9,2,1992,1053,1053,0,768.0,2004,2003,8,250000
273,1,1954.0,6,1,1047,1047,641,0,0.0,1995,1885,4,100000
250,1,1948.0,5,1,789,789,789,104,0.0,1950,1948,5,115000
0,0,1980.0,7,2,1517,997,793,0,0.0,2005,1919,5,115000
546,2,1977.0,7,2,1844,1844,1844,705,480.0,1977,1977,6,190000
325,1,1954.0,7,2,1855,1216,994,444,0.0,1972,1954,6,136900
400,2,2000.0,7,2,1430,774,384,250,0.0,2000,2000,7,180000
792,3,2007.0,10,2,2696,1282,1264,984,220.0,2007,2007,7,383970
450,2,1953.0,7,2,2259,2259,1809,35,184.0,1953,1953,6,217000
180,1,1945.0,9,2,2320,1436,1028,774,0.0,2002,1945,6,259500
440,2,1999.0,5,2,1458,729,729,419,1129.0,1999,1999,6,176000
288,1,1962.0,6,1,1092,1092,1092,170,116.0,1962,1962,5,139000
430,2,2007.0,5,1,1125,1125,1125,0,0.0,2007,2006,5,155000
594,3,1990.0,11,3,3222,1699,1673,1470,0.0,1990,1990,7,320000
390,2,2005.0,8,2,1456,728,728,0,0.0,2006,2005,6,163990
540,2,1969.0,4,1,988,988,938,938,0.0,1969,1969,6,180000
264,1,1979.0,4,1,1123,772,732,0,0.0,1950,1939,4,100000
288,1,1958.0,5,1,1080,1080,1080,570,135.0,1958,1958,6,136000
530,2,1993.0,5,2,1199,1199,1199,300,0.0,1993,1993,6,153900
435,2,1979.0,7,2,1586,1586,1362,0,0.0,1998,1979,6,181000
0,0,1980.0,5,1,754,520,520,490,0.0,1982,1935,6,84500
440,2,1977.0,5,2,958,958,1078,120,0.0,1976,1976,6,128000
0,0,1980.0,5,1,840,840,672,116,0.0,1950,1930,5,87000
453,2,1966.0,6,1,1348,660,660,512,266.0,1966,1966,6,155000
750,2,1998.0,6,1,1053,1053,1008,567,85.0,1991,1958,5,150000
487,2,1966.0,8,2,2157,1216,924,445,309.0,1966,1966,7,226000
390,2,2000.0,7,2,2054,1022,992,695,40.0,2000,2000,6,244000
624,2,1974.0,7,1,1327,1327,1063,405,0.0,2002,1959,5,150750
471,2,2001.0,6,2,1296,1296,1267,1005,136.0,2002,2001,8,220000
440,2,1968.0,7,2,1721,1721,1461,570,0.0,1993,1968,5,180000
530,2,1970.0,7,2,1682,1682,1304,0,288.0,1970,1970,7,174000
318,1,1967.0,5,2,1214,1214,1214,695,196.0,1967,1967,5,143000
766,3,1989.0,9,3,1959,1959,1907,0,70.0,1989,1988,7,171000
660,3,1999.0,7,2,1852,1004,1004,668,320.0,2000,1999,8,230000
470,2,1997.0,7,2,1764,928,928,821,0.0,1997,1997,6,231500
0,0,1980.0,5,1,864,864,864,432,0.0,1971,1971,4,115000
660,2,2005.0,7,2,1734,1734,1734,1300,0.0,2005,2005,7,260000
720,2,2000.0,6,2,1385,910,910,507,0.0,1952,1952,5,166000
577,2,1999.0,6,2,1501,1501,1490,679,183.0,1999,1999,7,204000
504,2,1963.0,10,2,1728,1728,1728,1332,336.0,1963,1963,5,125000
380,2,2004.0,7,2,1709,970,970,0,50.0,2006,2004,6,130000
180,1,1931.0,5,1,875,875,715,209,0.0,1993,1931,5,105000
434,2,2001.0,8,2,2035,884,884,0,180.0,2001,2001,7,222500
0,0,1980.0,6,1,1080,1080,1080,680,120.0,2005,2004,7,141000
240,1,1936.0,7,1,1344,896,896,0,0.0,1950,1936,5,115000
440,2,1975.0,5,1,969,969,969,716,0.0,1975,1975,5,122000
866,3,2007.0,6,2,1710,1710,1710,1400,436.0,2008,2007,8,372402
495,2,1971.0,8,2,1993,1097,825,416,252.0,1971,1971,6,190000
564,2,1960.0,4,1,1252,1252,1602,429,0.0,1975,1960,6,235000
312,1,1923.0,7,1,1200,1200,1200,0,0.0,1950,1923,6,125000
0,0,1980.0,5,1,1096,572,572,0,0.0,1950,1924,6,79000
625,2,1950.0,5,1,1040,1040,0,0,0.0,1950,1950,5,109500
680,3,2009.0,8,2,1968,774,774,0,84.0,2010,2009,8,269500
678,2,2004.0,8,2,1947,991,991,222,0.0,2005,2004,7,254900
576,2,2006.0,9,2,2462,1392,1392,57,456.0,2006,2005,7,320000
516,2,1984.0,6,2,1232,1232,1232,660,0.0,1984,1984,6,162500
726,3,2003.0,10,2,2668,1572,1572,1016,664.0,2004,2003,9,412500
532,2,2005.0,7,2,1541,1541,1541,1201,226.0,2005,2005,7,220000
0,0,1980.0,4,1,882,882,882,0,0.0,1956,1956,4,103200
216,1,1926.0,5,2,1616,1149,1149,370,0.0,2004,1926,6,152000
0,0,1980.0,6,2,1355,808,644,351,0.0,1999,1940,5,127500
303,1,1955.0,7,1,1867,1867,1617,379,0.0,1993,1955,5,190000
789,3,2007.0,8,1,2161,1610,1582,1288,300.0,2007,2007,8,325624
440,2,2004.0,7,2,1720,840,840,0,0.0,2004,2004,7,183500
511,2,1981.0,6,2,1707,1707,1686,0,653.0,1981,1981,8,228000
660,2,1991.0,7,1,1382,854,720,360,0.0,1950,1941,5,128500
528,2,1960.0,7,1,1656,1656,1080,639,112.0,1960,1960,6,215000
504,2,1987.0,5,2,1767,1064,1064,495,0.0,1987,1987,7,239000
504,2,1961.0,6,1,1362,1362,1362,288,491.0,1961,1961,6,163000
616,2,1986.0,7,2,1651,1651,1606,1398,132.0,1986,1986,6,184000
576,2,1950.0,7,2,2158,2158,1202,477,0.0,2001,1950,6,243000
521,2,1988.0,8,2,2060,1164,1151,831,268.0,1989,1988,6,211000
451,2,1958.0,8,2,1920,1252,1052,57,0.0,1958,1958,5,172500
1166,3,2009.0,9,2,2234,2234,2216,1904,748.0,2009,2008,9,501837
480,2,1935.0,5,1,968,968,968,0,0.0,2006,1923,5,100000
440,2,2000.0,5,2,1525,769,756,436,456.0,2000,2000,6,177000
216,1,1920.0,9,1,1802,901,793,352,0.0,1950,1920,7,200100
252,1,1957.0,7,1,1340,1340,0,0,98.0,2006,1957,5,120000
484,2,2003.0,6,2,2082,1362,1362,0,0.0,2003,2003,7,200000
576,2,1986.0,5,1,1252,936,504,0,0.0,1991,1908,5,127000
840,3,1993.0,12,2,3608,1518,1107,0,0.0,1993,1892,10,475000
497,2,1990.0,6,2,1217,1217,1188,611,0.0,1991,1990,7,173000
180,1,1916.0,8,2,1656,808,660,0,0.0,1987,1916,5,135000
528,2,1979.0,6,0,1224,1224,1086,1086,275.0,1979,1979,5,153337
682,2,2001.0,5,1,1593,1593,1593,1153,0.0,2002,2001,8,286000
440,2,1932.0,10,2,2727,1549,853,297,0.0,1994,1932,8,315000
484,2,1972.0,7,1,1479,725,725,626,138.0,2004,1972,7,184000
666,2,1999.0,6,2,1431,1431,1431,560,0.0,1999,1999,7,192000
380,2,2004.0,7,2,1709,970,970,0,50.0,2004,2004,7,130000
352,1,1989.0,5,1,864,864,864,390,0.0,1972,1972,5,127000
440,2,1976.0,7,2,1456,855,855,566,0.0,1976,1976,6,148500
786,3,2007.0,8,2,1726,1726,1726,1126,205.0,2007,2007,7,311872
795,2,1918.0,8,2,3112,1360,1360,1036,0.0,1990,1918,8,235000
0,0,1980.0,8,1,2229,929,755,0,0.0,1950,1912,6,104000
856,3,2004.0,7,2,1713,1713,1713,1088,262.0,2005,2004,8,274900
440,2,2003.0,5,2,1121,1121,1121,0,0.0,2004,2003,4,140000
473,2,1980.0,6,2,1279,1279,1196,641,0.0,1977,1977,6,171500
398,1,1924.0,6,2,1310,865,617,617,0.0,1950,1924,6,112000
420,2,2004.0,3,1,848,848,848,662,205.0,2004,2004,6,149000
240,1,1948.0,5,1,1284,720,720,312,0.0,1950,1947,5,110000
500,2,1990.0,5,2,1442,1442,1424,0,0.0,1990,1990,7,180500
349,1,1962.0,8,1,1696,1696,1140,0,0.0,1962,1962,5,143900
312,1,1960.0,6,1,1100,1100,1100,419,0.0,1960,1960,4,141000
454,2,1988.0,7,2,2062,1180,1157,1065,128.0,1989,1988,7,277000
504,2,1964.0,6,1,1092,1092,1092,787,260.0,1964,1964,6,145000
0,0,1980.0,5,1,864,864,864,468,0.0,1950,1925,5,98000
460,2,2009.0,6,2,1212,1212,1212,36,0.0,2009,2009,6,186000
644,2,2009.0,7,2,1852,932,900,822,0.0,2009,2009,7,252678
576,2,1996.0,5,1,990,990,990,716,0.0,1995,1995,5,156000
299,1,1977.0,6,1,1392,689,689,378,153.0,1977,1977,6,161750
447,1,1957.0,6,1,1236,1236,1070,360,64.0,1996,1957,5,134450
484,2,2004.0,8,2,1436,1436,1436,946,266.0,2004,2004,7,210000
210,1,1940.0,8,1,1328,810,686,0,0.0,1950,1925,4,107000
431,2,1939.0,8,1,1954,1137,798,341,312.0,2006,1939,7,311500
438,2,2005.0,5,2,1248,1248,1248,16,16.0,2006,2005,7,167240
675,2,2006.0,5,2,1498,1498,1498,0,0.0,2006,2006,7,204900
390,2,2002.0,8,2,2267,1010,1010,0,0.0,2002,2002,6,200000
434,2,1975.0,6,2,1552,811,713,550,0.0,1975,1975,6,179900
576,2,1989.0,4,1,864,864,864,524,0.0,1971,1971,4,97000
968,3,2003.0,8,2,2392,2392,2392,56,922.0,2003,2003,10,386250
280,1,1991.0,6,2,1302,630,630,0,142.0,1971,1971,5,112000
721,3,1995.0,9,2,2520,1214,1203,565,290.0,1995,1995,7,290000
280,1,1987.0,5,1,987,483,483,321,127.0,1970,1970,6,106000
336,1,1974.0,5,1,912,912,912,842,0.0,1967,1967,5,125000
430,2,2005.0,7,2,1555,1555,1373,16,16.0,2006,2005,7,192500
312,1,1959.0,6,1,1194,1194,1194,0,220.0,1959,1959,6,148000
810,3,1995.0,9,2,2794,1490,1462,689,506.0,1996,1995,8,403000
288,1,1972.0,5,1,987,483,483,0,297.0,1972,1972,6,94500
308,1,1976.0,5,1,894,894,894,182,0.0,1976,1976,5,128200
440,2,2002.0,8,2,1960,860,860,625,0.0,2002,2002,6,216500
264,1,1971.0,5,1,987,483,483,358,604.0,1971,1971,6,89500
494,2,2004.0,6,2,1414,1414,1414,24,98.0,2004,2004,7,185500
457,2,1993.0,7,2,1744,1014,996,402,0.0,2003,1993,7,194500
818,3,2007.0,7,2,1694,1694,1694,0,254.0,2007,2007,8,318000
220,1,1949.0,7,1,1487,798,735,94,0.0,1950,1945,6,113000
750,2,2008.0,7,2,1566,1566,1566,1078,36.0,2008,2008,8,262500
0,0,1980.0,4,1,866,866,686,329,0.0,1997,1945,5,110500
352,1,1940.0,6,1,1440,889,540,0,0.0,1950,1900,5,79000
288,1,1980.0,6,1,1217,626,626,0,0.0,1980,1980,6,120000
463,2,1994.0,8,2,2110,1222,948,695,0.0,2002,1994,7,205000
604,2,1988.0,6,2,1872,1872,1845,929,102.0,1988,1988,7,241500
440,1,1910.0,9,2,1928,908,1020,0,0.0,1950,1910,6,137000
451,2,1954.0,5,1,1375,1375,1367,0,0.0,1954,1954,6,140000
500,2,2003.0,8,2,1668,840,840,0,101.0,2003,2003,7,180000
389,2,1958.0,7,2,2144,1444,1444,697,472.0,2006,1958,6,277000
0,0,1980.0,6,1,1306,1306,728,0,0.0,1966,1940,3,76500
538,2,2006.0,5,2,1625,1625,1573,1573,481.0,2007,2006,8,235000
520,2,2004.0,6,2,1640,798,798,0,0.0,2004,2004,6,173000
309,1,1964.0,7,2,1302,1302,1302,270,108.0,1991,1964,6,158000
294,1,1957.0,5,1,1314,1314,1314,922,0.0,1957,1957,5,145000
429,2,1999.0,8,2,2291,1005,975,0,302.0,1999,1999,7,230000
673,2,2003.0,7,2,1728,864,864,503,0.0,2003,2003,6,207500
660,2,2006.0,8,2,1604,1604,1604,1334,180.0,2006,2006,7,220000
564,2,2001.0,7,2,1792,963,963,361,172.0,2001,2001,7,231500
308,1,1956.0,4,1,882,882,0,0,0.0,1956,1956,5,97000
884,2,1991.0,6,1,1382,1382,1362,672,399.0,1962,1962,6,176000
868,3,2007.0,10,2,2574,1482,1482,0,270.0,2007,2007,8,276000
492,2,1978.0,6,1,1212,1212,506,506,46.0,1995,1977,6,151000
484,2,1974.0,6,1,1316,926,926,234,0.0,2001,1929,5,130000
504,2,1965.0,4,1,764,764,680,0,0.0,2004,1925,5,73000
576,2,1981.0,7,2,1422,1422,1422,588,210.0,1981,1981,6,175500
413,2,1997.0,8,2,1511,802,802,714,0.0,1997,1997,6,185000
240,1,1939.0,8,2,2192,1052,720,378,0.0,1997,1939,5,179500
924,1,1966.0,4,1,778,778,740,403,0.0,1955,1940,5,120500
504,1,1987.0,6,1,1113,1113,1143,751,174.0,1976,1976,6,148000
1053,3,2006.0,8,2,1939,1095,1095,0,0.0,2006,2006,8,266000
439,2,1954.0,5,1,1363,1363,1385,226,0.0,2005,1954,7,241500
671,3,1999.0,9,2,2270,1164,1152,524,348.0,2007,1999,8,290000
338,1,1958.0,6,2,1632,1632,1240,620,183.0,1988,1958,6,139000
264,1,1982.0,5,1,816,816,816,546,0.0,1982,1982,5,124500
672,2,1978.0,5,2,1548,952,952,0,0.0,2007,1925,7,205000
573,2,2003.0,7,2,1560,1560,1560,0,0.0,2003,2003,7,201000
400,2,1951.0,4,1,864,864,864,120,0.0,1951,1951,4,141000
732,3,2007.0,8,2,2121,2121,2121,0,315.0,2007,2006,9,415298
505,2,1977.0,8,2,2022,1156,1160,392,299.0,1977,1977,7,192000
575,2,1989.0,7,2,1982,1175,807,421,340.0,1989,1989,7,228500
572,2,2006.0,5,2,1262,1262,1262,905,68.0,2006,2006,6,185000
626,2,2008.0,6,2,1314,1314,1314,904,166.0,2008,2007,7,207500
898,3,2008.0,6,2,1468,1468,1468,0,72.0,2009,2008,8,244600
529,2,1992.0,5,2,1575,1575,1575,430,0.0,1992,1992,6,179200
528,2,2006.0,5,2,1250,625,625,0,0.0,2007,2006,7,164700
440,2,1962.0,7,1,1734,1085,912,600,0.0,1981,1962,6,159000
0,0,1980.0,5,1,858,858,858,614,0.0,1971,1971,4,88000
280,1,1970.0,5,1,900,900,882,450,31.0,1967,1967,5,122000
